workerid,workerid,seclang,gender,age,race,region,regionComments,speaker,sentence,content,intonation,verification,followupchoice,certainty,comment1
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,zio,S1UM,email,HLL,Send her an email,response=1,66,
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,sara,filler,operation,before,Only three people knew the truth before the operation was underway,response=1,16,
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,chr,S1UM,coffee,LHL,Put some creamer in your coffee,response=1,62,
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,bec,S1UM,window,LHL,Open the window,response=1,61,
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,chr,filler,conference,until,I managed to solicit money from many people until the conference started,response=2,60,
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,kev,S1UM,menu,HLL,Read the menu,response=1,60,
A28JHBZQE036AC,,,gen=2,age=1,eth=3,North Carolina,,bec,S1UM,left,HLL,Turn left,response=1,84,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,kev,S1UM,dog,HLL,Take the dog for a walk.,response=1,90,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,chr,S1UM,calm,HLL,Be calm.,response=1,73,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,sara,filler,conference,before,I managed to solicit money from many people before the conference started,response=2,73,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,zio,S1UM,right,LHL,Go right,response=1,78,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,zio,S1UM,apple,LHL,Use an apple core,response=1,64,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,kev,filler,operation,until,Only three people knew the truth until the operation was under way,response=1,65,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,kev,S1UM,home,LHL,Stay at home,response=2,71,
A1E4K9G6ZKPKX4,No.,,gen=2,age=2,eth=3,Oregon,No.,bec,S1UM,call,HLL,Call your mom,response=1,70,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,kev,filler,border,before,Few people managed to leave before the country closed its border.,response=2,80,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,zio,S1UM,calm,LHL,Be calm,response=1,100,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,kev,S1UM,call,LHL,Don't call your mom,response=1,80,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,kev,S1UM,home,HLL,Stay home,response=1,82,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,kev,S1UM,dog,LHL,Take the dog for a walk,response=1,80,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,zio,S1UM,apple,HLL,Use an apple corer,response=1,81,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,zio,S1UM,right,HLL,Go right,response=1,84,
A1J6Z70T78B35V,,,gen=1,age=1,eth=3,NJ,,sara,filler,register,until,Many students registered for the class until requirements were posted,response=2,81,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,chr,S1UM,cookie,LHL,Have a cookie.,response=2,98,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,kev,S1UM,menu,HLL,Read the menu.,response=1,79,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,chr,S1UM,coffee,LHL,Put some creamer in your coffee,response=1,49,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,bec,S1UM,window,LHL,open the window,response=2,73,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,zio,S1UM,email,HLL,send her an email,response=1,83,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,bec,S1UM,left,HLL,turn left,response=1,64,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,chr,filler,conference,until,I managed to solicit money from many people until the conference started,response=2,58,
A33B85TN97HQ33,no comments,,gen=1,age=3,eth=3,south,no comments,sara,filler,operation,before,only three people knew the truth before the operation was underway,response=2,49,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,zio,S1UM,right,LHL,go right,response=2,64,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,kev,S1UM,home,LHL,stay home,response=2,62,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,bec,S1UM,call,HLL,call your mom,response=1,58,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,chr,S1UM,calm,HLL,he come,response=1,73,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,kev,filler,operation,until,only 3 people knew the truth until the operation was underway,response=2,68,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,sara,filler,conference,before,I managed to solicit money,response=1,61,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,zio,S1UM,apple,LHL,hes an apple core,response=1,59,
A1GVHFB9F270GX,,,gen=2,age=3,eth=3,usa,,kev,S1UM,dog,HLL,Take the dog for a walk,response=1,71,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,bec,S1UM,menu,LHL,read the menu,response=1,72,na
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,bec,S1UM,left,LHL,turn left,response=2,69,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,chr,filler,register,before,many students register for class,response=2,60,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,sara,filler,border,until,few people vanish,response=2,65,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,chr,S1UM,cookie,HLL,have a cookie,response=2,60,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,chr,S1UM,coffee,HLL,put some creamer in your coffee,response=2,61,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,bec,S1UM,window,HLL,open the window,response=1,34,
AOTCPS24JM5DQ,,,gen=2,age=1,eth=3,mn,,chr,S1UM,email,LHL,sent her an email,response=1,39,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,kev,S1UM,window,LHL,Open the window,response=2,77,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,chr,S1UM,email,HLL,Send her an email,response=2,51,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,kev,S1UM,left,HLL,Turn left,response=1,83,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,sara,filler,conference,before,I managed to solicit money from many people before the company started,response=2,52,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,zio,S1UM,cookie,LHL,Have a cookie,response=1,74,
