workerid,gender,age,race,region,regionComments,speaker,sentence,content,intonation,etype,verification,followupchoice,certainty,comment1
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",zio,S1UM,right,HLL,EI,Go right,response=1,100,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",kev,S1UM,home,HLL,EI,Stay,response=1,95,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",kev,S1UM,call,LHL,EI,Call you mom,response=1,95,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",bec,S1UM,potato,HLL,ED,Use some potato,response=1,69,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",kev,filler,help,npiq,wk,Did Lulia figuered it out.,response=2,63,
A366MTQY0JG0EM,gen=2,age=1,eth=3,Texas,"	",kev,S1UM,dog,LHL,ED,Take a dog for a walk.,response=1,100,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",zio,filler,bring,pnq,str,Didn't Manny bring something?,response=2,19,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",chr,S1UM,calm,LHL,ED,Be calm.,response=1,27,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",kev,S1UM,menu,LHL,EI,Read the menu,response=2,36,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",kev,filler,help,npipnq,wk,Didn't Maria lift a finger to help?,response=1,57,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",zio,S1UM,coffee,HLL,ED,Put some creamer in your coffee.,response=1,55,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",kev,S1UM,left,LHL,ED,Turn left.,response=1,35,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",bec,S1UM,lemonade,HLL,EI,Have a lemonade.,response=2,41,
A2VBSFSJXLZZ7A,gen=2,age=2,eth=3,Ohio,"No.	",bec,S1UM,window,HLL,EI,Open the window.,response=1,28,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",chr,S1UM,calm,HLL,ED,Do come,response=1,93,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",kev,filler,help,npipnq,str,Didn't Maria lift a finger to help?,response=1,81,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",kev,S1UM,left,HLL,EI,Turn left,response=1,75,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",zio,filler,bring,npiq,wk,Did Many bring anything at all?,response=1,70,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",bec,S1UM,window,LHL,ED,Open the window ,response=1,83,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",zio,S1UM,coffee,LHL,EI,Put some cream in your coffee ,response=1,84,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",kev,S1UM,menu,HLL,EI,Read the menu ,response=1,93,
AEECEMJS22D2E,gen=2,age=2,eth=3,VA,"	",bec,S1UM,lemonade,LHL,ED,Have a lemonade ,response=1,75,
